MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,target
12.4134,17,2.5359,1.5934,398,2.337,36.6186,-119.408,656518
5.6123,2,1.2581,1.2088,1680,3.4909,40.3091,-119.9308,267749
2.8186,31,9.7462,2.0531,845,3.7346,39.1385,-116.9423,183393
10.7371,19,9.8257,2.392,4121,2.831,33.7262,-116.5897,608481
7.4421,32,3.3192,3.6584,3658,4.4383,41.2535,-122.2598,363501
3.1475,28,1.0842,3.9107,4310,2.4092,36.4668,-123.3512,114393
8.1849,41,6.8133,4.9287,4074,3.5637,34.2237,-123.3508,403336
1.9642,8,6.8362,2.202,263,3.6712,41.3912,-116.6514,169889
13.7758,42,9.4632,2.3113,2940,2.1793,36.4067,-123.8428,706776
4.9935,41,3.6862,2.9394,2360,1.0754,33.7373,-114.2455,227889
10.4441,40,2.7055,4.1915,392,4.3064,40.2332,-116.9397,522852
5.7081,39,6.5474,3.4742,495,2.9297,37.0032,-118.0301,287978
8.5209,22,6.073,3.077,2068,1.3818,33.9679,-123.6806,422872
8.8806,24,7.4596,3.4165,2569,4.8302,38.8031,-123.6812,486475
3.9955,38,8.9661,2.59,1691,2.1857,41.8199,-119.4347,251458
14.5894,2,6.0377,3.9157,3251,2.8979,32.8431,-120.1653,784582
11.9643,41,2.3507,0.8388,2084,2.9363,36.3441,-121.1056,593077
14.1832,41,6.3832,2.7906,1504,2.4832,37.1316,-122.7073,746309
13.5802,19,4.3669,4.1296,539,1.6063,38.6119,-121.2747,678258
9.5716,41,5.0746,1.8613,4492,3.8172,34.2849,-117.6514,457886
13.9453,2,9.6354,4.2954,1574,1.7819,33.8485,-120.0162,714134
2.6946,28,5.9945,4.0227,4696,3.7293,39.4191,-120.8787,107717
4.1458,32,2.3468,3.113,623,4.2084,38.6935,-114.7526,198415
2.1106,19,4.9884,1.6347,196,1.0925,34.4576,-120.6798,131185
5.892,16,3.0559,4.3748,3092,3.9271,32.5686,-114.8927,318648
6.7471,30,2.2193,0.6349,2133,3.5521,40.0015,-123.1905,344218
5.1632,22,7.4101,3.1663,1744,1.7831,38.8219,-115.7363,288894
12.688,14,6.6571,4.0215,2806,3.4808,40.7978,-118.8837,640320
6.3162,1,5.4801,2.6843,1829,2.6831,32.6763,-118.9051,376513
5.2926,45,4.8091,0.9629,541,1.3384,36.8751,-118.0344,315795
8.8264,2,3.9,4.2529,4538,3.0948,33.5962,-117.3657,437266
3.4025,22,1.7921,4.5909,3408,4.8931,38.7492,-115.8177,124351
12.3297,46,3.6934,3.0349,2731,3.5952,34.4951,-123.4629,570302
2.5064,33,8.5456,4.0422,4321,2.3222,34.6289,-120.8701,175919
14.823,15,8.0531,3.2482,1383,3.254,39.1492,-119.3674,797025
11.9253,50,9.7509,3.0798,4734,3.9512,40.2479,-114.3538,610296
4.1827,41,6.9046,1.0885,1661,1.625,41.1053,-123.3882,232611
1.5745,22,5.9828,2.4656,2500,3.1153,32.7808,-120.0506,53986
12.5087,40,3.6644,3.5546,3024,3.0275,40.0668,-116.1744,639413
11.0426,39,1.6917,2.5452,2131,2.5062,41.715,-114.6955,532241
11.3416,41,6.5622,3.2799,2187,3.9883,32.5238,-115.9416,587695
11.9121,41,5.3935,4.5266,2860,3.26,41.1206,-114.229,563404
2.4996,11,7.8317,2.148,4397,3.7956,41.5399,-118.7277,136197
6.3393,4,4.7067,4.2282,2688,3.3838,33.9232,-116.7177,335037
3.0642,7,9.87,0.6307,3512,4.1238,35.086,-115.1876,239875
13.1519,21,4.5785,4.337,1370,3.5357,34.9902,-119.8567,659332
9.9145,7,3.9976,0.98,2529,3.711,41.4955,-123.1891,543830
5.9671,4,8.8389,1.9465,2061,1.902,32.1665,-123.4469,333249
2.358,12,4.5596,2.8105,341,4.3835,37.5662,-114.7764,115954
5.6983,27,8.8381,3.4252,3508,1.6215,37.7956,-123.9797,286138
5.89,17,1.2462,4.789,4185,2.3593,38.5192,-120.8286,229924
11.3497,20,7.2333,1.8816,3832,4.5576,34.2418,-115.4941,589666
10.107,31,1.6467,0.8841,1534,1.4343,36.7409,-120.0253,474915
13.4774,26,2.3341,2.5648,195,4.4667,36.125,-122.0312,668328
7.8749,31,7.3007,2.0537,205,2.9015,36.0835,-122.6938,439549
3.1145,35,3.6075,3.2005,4416,1.7343,35.3403,-123.653,135991
11.1288,9,2.8939,4.6525,3052,3.9488,41.4332,-117.5263,512647
11.7706,5,8.2137,3.3951,1502,2.1355,38.5133,-120.7445,652378
9.0772,48,9.5162,3.1011,495,3.7116,39.6007,-123.8802,445740
11.9081,8,3.0914,1.6074,627,4.1636,35.2175,-123.1705,561263
8.1662,21,3.8548,1.6914,3227,3.2773,32.0078,-115.4804,431977
8.5569,16,7.4267,2.4623,2710,4.144,41.5224,-122.7663,488764
7.2718,51,8.3376,4.5108,4682,4.7402,40.7634,-119.0225,391159
1.8432,16,9.9925,3.1077,3454,3.2016,36.5787,-120.5307,146941
2.9565,18,3.4603,2.7259,3628,1.6095,35.8562,-121.9737,175607
1.9243,47,6.0096,2.9415,2213,3.8384,36.4468,-122.7513,46304
10.0915,28,2.2062,4.252,170,2.6403,34.6908,-117.6107,467254
5.7438,18,3.9776,3.5505,3051,3.1252,38.1491,-115.2454,305737
8.3657,14,1.4047,4.6734,3849,3.5073,41.7367,-117.9864,390169
13.7521,48,2.8975,3.1178,1910,3.87,32.6653,-120.24,664432
4.8654,37,5.5589,1.3821,2075,3.5592,39.8961,-120.9347,260943
7.0402,40,2.4738,0.5843,3327,1.9315,32.5906,-120.3719,349761
11.6999,16,9.0044,1.927,2113,3.9927,40.5904,-120.3365,685530
4.5888,21,7.3928,0.7823,4158,4.2294,33.4569,-118.8941,279619
2.5392,1,1.2496,2.3318,2852,1.1507,36.9468,-120.322,135047
5.4116,11,8.8903,1.3455,2325,2.2326,37.0862,-118.136,301943
3.6765,11,9.7959,2.3221,2563,4.9112,38.3058,-122.9554,235865
14.0509,2,5.5168,2.2964,2291,1.7109,38.0521,-121.2497,735515
12.4096,32,3.8315,1.7432,4645,1.7313,39.0242,-116.7836,600694
10.051,19,3.3712,3.4377,2977,3.3653,40.4861,-116.4194,465110
13.2647,5,1.7868,2.4505,4941,2.3526,32.3607,-117.2393,680017
12.3496,3,5.4245,4.5206,2469,3.6285,39.3809,-120.5902,624010
4.0187,28,1.4513,0.8424,3830,2.0506,32.5143,-119.5378,177433
13.5495,26,5.5345,2.3478,871,2.704,39.9378,-122.1786,656660
8.7811,23,3.2729,3.9918,3125,4.9937,39.9326,-114.3386,443617
12.4004,30,5.2879,2.7254,2321,2.4938,33.9095,-115.2988,613291
13.5972,8,4.7655,4.8474,4048,1.3447,34.0925,-114.5829,691802
5.793,36,3.746,1.2867,1738,3.9697,32.7809,-118.3049,215933
2.9857,29,5.0377,1.9221,3329,3.3543,34.4026,-119.3429,133461
4.5771,13,5.2663,1.0227,1676,2.7783,36.9929,-115.3114,278563
7.266,25,8.5032,1.6103,4596,4.6349,35.8881,-119.917,399871
12.5432,22,6.9921,3.5264,2222,1.5865,34.2381,-121.3182,693813
13.1199,46,4.8984,2.6913,4169,2.9589,38.2108,-118.9755,641348
1.5939,33,9.1472,1.2293,4067,1.7671,37.2279,-122.3038,131735
8.3951,37,7.8017,2.6361,561,1.334,33.2544,-116.3088,449563
7.135,7,1.6815,4.3133,1673,2.7694,35.2075,-119.5855,325183
4.4985,23,2.3837,2.4792,1821,4.7894,41.4093,-117.4509,209876
3.1182,6,1.735,0.5595,3953,3.8883,38.7353,-118.1595,181063
6.0578,15,3.8698,0.7471,4720,1.938,41.5092,-118.1503,321766
14.2293,15,4.9208,2.4715,2843,2.8505,36.5578,-114.6896,680346
5.8632,40,5.5382,3.1696,167,4.1898,32.2034,-123.4417,315788
8.5037,34,8.6627,4.4894,4894,1.7817,39.9223,-117.8632,432953
10.9908,14,1.1616,4.9188,2910,1.8148,32.9452,-121.3753,467143
6.409,29,4.8546,4.9117,3860,1.7241,41.4253,-122.7528,282700
14.6191,16,4.699,3.0105,1076,3.4298,35.0649,-123.453,759510
14.493,29,9.5273,0.6608,3374,1.1158,38.5884,-115.6993,748942
4.8991,23,3.1693,1.4607,102,3.3505,40.4628,-120.012,234533
8.2129,10,2.1017,2.4545,3378,4.3015,36.5801,-117.011,427401
5.5619,47,2.2803,4.4585,668,4.1306,36.3009,-114.6781,216375
5.3453,4,5.6813,0.597,1448,3.6673,33.8613,-115.4527,330085
1.998,12,4.5181,2.792,3947,1.878,39.281,-121.5782,74728
9.7291,42,7.7873,3.4406,3693,4.2657,35.3934,-117.6468,511547
8.2862,34,3.9086,1.797,102,4.8299,38.2761,-121.0194,443498
2.195,4,2.1517,1.9206,2765,1.7351,34.4663,-123.5097,115397
5.2617,20,4.4819,2.2479,3521,4.6413,39.3906,-114.9204,272416
13.7616,28,8.9473,1.7357,886,4.412,38.9647,-116.9516,706379
4.7341,28,4.6497,2.4673,1016,4.9171,32.0867,-115.6494,267503
3.4561,6,8.5026,1.2114,1332,2.2771,33.0185,-121.2701,234808
8.1076,14,4.3438,1.397,3274,4.7363,32.8198,-121.21,453902
14.8063,35,3.5325,0.6671,1878,1.7181,32.3482,-121.9555,745014
4.7677,47,7.9738,2.3509,430,1.7007,32.5967,-121.1513,280738
10.5738,1,2.8831,3.683,640,1.428,35.2503,-122.9401,553630
11.7819,19,3.0865,2.7777,4458,2.7111,39.6593,-116.6751,601434
4.7081,1,1.4483,2.888,2196,1.0487,37.3281,-114.2907,234487
11.3309,13,2.6906,2.5248,588,2.5254,33.0624,-114.9188,558364
6.4651,8,4.4093,3.1318,4593,3.5037,32.5201,-122.5322,332130
10.0361,18,4.5962,1.5335,3782,1.313,33.0406,-121.89,497658
10.0527,35,4.7857,1.4338,1779,4.2739,35.7348,-120.3955,519993
8.733,23,5.3172,4.7388,1976,2.1709,35.0417,-122.004,392096
2.7189,50,6.1472,2.5268,568,1.1858,39.0983,-117.1345,130985
12.7766,26,2.7049,4.2223,940,2.4984,38.2549,-116.5283,619757
5.8305,41,6.5255,4.6257,3549,1.5537,40.7672,-116.4363,276404
4.018,38,4.029,3.267,4256,4.1811,41.4833,-118.1647,159825
2.0505,20,7.6061,1.8446,1032,2.336,32.0144,-121.4627,105015
9.4771,2,6.0148,3.5591,2932,1.4681,34.2814,-122.7916,478200
10.6471,26,5.9884,2.4391,3170,2.8146,32.7799,-119.1198,540287
1.7239,36,7.1694,4.8788,3742,2.8079,35.066,-115.1098,76996
8.4133,25,3.9972,4.1508,1723,2.1024,37.9731,-121.2554,401072
4.5577,30,4.8631,4.1673,4050,2.308,34.6637,-120.7366,210263
10.2098,18,6.2461,3.1491,899,4.0754,33.8989,-116.8243,511545
3.8539,7,4.794,0.5379,3573,3.5549,35.8677,-120.5745,229223
10.8277,27,4.9983,4.2432,985,1.8586,32.1761,-115.2788,484945
6.7209,11,3.4524,0.6142,3411,4.7927,41.7325,-115.3441,385695
14.1459,37,3.5865,1.0506,3180,2.2189,41.6706,-115.0017,684673
3.3565,8,7.2906,4.274,4833,3.1338,33.3432,-116.2987,229278
6.1044,11,1.0385,1.4846,3144,3.2845,33.8933,-123.4094,293148
3.0319,24,1.8576,4.2851,2730,1.8547,37.6543,-118.6935,127138
13.9834,30,9.5393,1.5636,3581,2.1649,35.0877,-119.2376,778032
13.3441,30,2.6832,3.9682,1008,2.9228,32.1218,-119.3804,649514
4.9822,15,4.7631,2.9398,1797,2.0253,32.5409,-117.4496,239686
10.4098,35,8.6472,3.5195,398,2.2225,38.7322,-116.4805,563376
12.5325,39,1.0009,4.2714,3844,3.4526,34.1025,-118.5863,580426
8.9952,24,9.3266,4.9281,4520,3.935,37.3828,-116.4602,445068
8.6503,8,1.4814,0.8856,1799,4.2039,34.7653,-121.5706,405207
4.765,43,2.5378,3.5842,3804,1.4869,37.2493,-117.5944,172021
2.7569,42,1.2619,4.8143,3373,3.948,41.9893,-117.8833,120321
13.6124,20,5.6757,2.1821,1959,4.7455,38.9069,-120.6535,706964
13.6556,41,9.4878,2.0019,1098,3.3229,35.4665,-118.9607,712007
10.0469,47,8.5513,3.5599,457,3.4187,41.6529,-114.1037,542514
6.0769,26,6.7577,2.3088,1851,4.8213,32.3459,-117.0027,374330
6.2143,24,2.6694,1.4651,2487,4.4777,33.7084,-119.5537,309004
11.3004,22,8.8264,1.2266,1043,3.2307,36.9851,-116.9206,630890
13.611,5,7.793,1.3668,140,4.0634,34.9212,-120.1703,759024
13.4757,15,3.4016,3.6694,1033,1.7236,39.1993,-120.826,695417
12.0283,36,8.2458,4.6341,4172,2.6525,32.3427,-118.9773,600851
10.1674,37,8.8944,4.1271,1326,3.8616,34.7399,-119.5116,557411
2.6359,29,7.284,2.5169,1390,2.1543,40.5558,-114.4958,109213
3.682,15,1.9035,2.8787,3788,2.8156,36.0203,-114.2117,177317
13.6305,27,9.8582,3.2908,4260,1.6909,34.03,-120.7599,687486
9.6868,49,1.684,3.1098,1604,4.5912,37.1864,-123.3338,427348
1.6242,8,6.8903,4.8581,4906,4.5827,35.6634,-121.9807,140587
2.8699,29,1.9947,4.4901,938,2.9134,34.8248,-114.7329,101376
10.4573,19,9.1487,0.6959,612,1.768,40.4853,-122.4844,577192
1.5683,31,4.1498,4.2609,2602,3.7168,40.5145,-117.8226,55154
3.6709,9,5.6035,1.0133,3175,1.8541,36.1845,-123.6092,215664
8.9079,10,2.6089,3.6059,4440,1.9144,38.0391,-118.9303,457605
10.8406,37,5.9191,1.7854,2696,4.8882,39.1874,-119.9306,548129
10.3015,10,9.4496,3.9802,1521,1.3982,39.0395,-116.8942,583062
4.5276,33,9.1147,0.5387,1970,2.517,35.3273,-118.8883,281084
11.1144,25,1.5751,2.2202,1916,3.2195,38.6118,-119.1491,505228
4.7029,4,4.4043,0.5969,1973,1.4312,41.1826,-117.7544,274024
5.8929,5,3.4069,4.7909,4133,1.1558,32.5542,-116.9884,314243
11.5776,23,5.3323,0.5691,3342,3.1694,32.7302,-117.5233,599238
10.27,39,8.5036,1.1988,2173,1.4582,40.5251,-115.1646,541918
12.9645,5,7.6497,2.9267,3383,2.0047,38.0244,-122.8569,699116
10.3778,8,4.0958,3.4077,4850,2.9891,32.2721,-114.4194,550147
9.1722,17,4.444,3.7805,4073,2.39,39.6601,-117.2257,490200
2.7646,1,6.8883,1.6111,2312,3.8422,33.0634,-122.0221,213400
6.4642,50,2.748,1.8545,3952,4.8498,40.3958,-119.8655,294803
5.0802,12,1.9246,1.5796,2803,4.0128,36.8298,-120.9094,273444
4.7939,35,3.1833,1.5983,653,5.0,34.9141,-116.8309,257820
14.6356,14,2.1163,4.0181,1828,2.5557,38.176,-114.0446,689625
6.8068,48,4.1679,4.766,2792,2.221,33.7388,-115.3158,239320
13.5426,18,9.4381,3.1811,4802,1.8503,37.3782,-115.3802,668422
10.0204,10,2.0827,1.2084,3598,4.5395,36.8999,-119.88,501534
12.23,15,8.3649,0.7944,3622,2.5597,34.4024,-119.6409,665278
8.2856,42,5.8118,1.5763,2445,3.8438,38.6776,-121.9638,390296
9.2882,33,6.6961,1.3001,481,3.6991,35.5035,-120.2846,496505
8.149,19,2.5307,3.1033,2664,1.2283,40.505,-117.7105,391646
4.1358,34,2.3624,3.6407,3654,4.5186,32.835,-115.5815,162530
11.2531,45,2.4647,0.5207,707,2.9461,39.7015,-123.412,559375
5.2904,25,7.0036,2.4783,1402,1.8942,36.3778,-114.5382,248664
1.8283,16,7.7301,3.3034,2377,4.9163,35.1188,-121.5722,131208
10.2139,8,9.2822,1.3679,3683,4.0126,41.3888,-121.9976,612352
3.891,35,4.5837,4.5544,3533,3.4669,34.0,-120.0208,167221
14.1962,21,5.1577,2.9706,2539,4.9535,36.2314,-117.6283,741261
14.378,19,5.2264,2.0543,1449,4.0263,36.641,-118.3082,756976
13.8507,46,3.4291,0.584,4926,1.4846,34.9756,-121.4767,656068
6.4971,11,3.9541,2.6794,3277,4.9646,32.89,-114.4162,303491
1.7087,44,8.6214,2.0118,3008,3.3904,41.0516,-118.021,87347
14.0323,11,4.0935,4.863,1929,2.1977,40.9397,-115.7835,704712
7.2805,11,8.8219,2.2044,3087,4.2701,38.2889,-114.8509,443381
14.5498,22,3.7474,4.6445,4585,1.1917,35.2438,-119.9978,661654
14.5089,21,4.0589,3.5872,2406,3.6175,38.2798,-121.6872,701613
13.0156,27,6.0425,0.8328,4163,1.6371,41.6441,-117.5996,664342
5.4751,18,1.9281,4.6972,1619,1.3502,40.834,-120.6344,222928
6.6988,42,9.2986,1.258,3763,2.4159,33.6557,-120.1555,395557
12.9903,48,8.3836,2.5161,3937,2.4255,40.162,-122.6249,649395
5.7784,40,7.0345,4.6535,2564,3.4021,39.9776,-115.7999,289089
3.7882,38,9.8931,4.2283,3939,3.2617,41.1725,-116.1987,186192
9.0168,30,1.144,2.6941,677,3.7518,32.4752,-117.6234,441741
14.1381,51,4.6995,1.4311,2142,1.6964,39.6649,-120.1933,662756
10.8964,45,8.7251,2.7917,3022,4.4835,37.4611,-114.3034,571486
9.1958,47,4.8972,2.9644,3581,4.4347,37.3828,-120.41,480338
2.8119,45,1.0472,4.9862,710,1.8651,35.4932,-117.8114,98882
9.8026,33,2.4198,4.2081,3455,2.8943,39.8575,-122.5129,457824
14.8657,21,4.9067,4.3759,270,2.9521,36.2367,-122.593,724004
3.3911,2,7.0115,4.9378,2875,4.685,35.5791,-114.4456,184476
8.4975,13,2.4639,2.8549,627,4.6225,41.6034,-116.7268,438139
13.3445,2,5.0324,3.1335,1212,1.2699,36.6288,-123.7398,691643
11.5004,43,1.1151,2.545,4986,4.8321,39.9252,-117.6145,552901
10.9097,45,5.2975,1.0645,4554,1.2742,33.3917,-123.5268,530109
10.9835,31,9.0633,2.8637,2438,3.1983,39.4005,-116.5564,591582
6.3531,10,6.3709,3.1216,1340,2.2464,38.7103,-123.4506,346462
5.4635,23,4.9659,1.5677,3808,2.5619,37.1091,-120.32,296754
12.4264,22,2.4603,4.0227,4568,3.5069,33.3744,-120.2267,588608
12.4365,47,2.8218,1.0602,586,3.3353,33.2058,-118.0818,563331
13.2055,29,1.6886,2.759,505,1.67,38.7628,-121.8758,657116
13.8287,33,7.6817,3.4822,3757,4.8791,40.5581,-117.0713,702685
8.4031,31,1.6942,0.7472,3556,1.1148,37.6715,-118.6423,428397
8.2705,14,4.4555,4.1182,2141,2.3735,36.6087,-120.6484,415914
12.277,10,7.7486,1.8687,4041,4.2055,37.2002,-116.2658,659939
10.2745,18,7.4154,3.7299,4473,4.4037,33.5656,-117.9673,570244
10.9766,11,6.1978,0.9869,3459,4.1892,32.5201,-115.0204,570903
12.2432,39,6.1418,3.2913,826,2.49,40.2905,-118.8027,597489
13.5151,47,1.813,3.0075,2234,3.6936,40.4642,-120.8329,642796
6.0629,3,2.5742,1.175,4189,4.0572,39.5323,-123.9449,296294
6.5704,2,5.8127,3.3114,2159,3.3118,39.7163,-118.2924,403600
2.7688,8,4.1327,3.611,438,3.7161,34.1394,-114.9747,144233
9.3068,31,1.1704,2.7433,4650,3.2145,33.0872,-122.6972,422845
1.9852,8,8.1835,3.1036,2558,1.2198,33.5999,-114.2261,170662
7.7856,43,6.8843,4.4934,1021,2.0931,38.3869,-117.5687,380235
8.8257,48,3.9321,3.6397,4341,3.8106,35.9733,-121.5428,384984
5.3683,2,1.8838,4.5768,4287,1.9661,32.1575,-114.5371,275702
9.4762,22,6.3208,2.9855,1966,2.8219,41.5045,-114.1022,510628
1.9118,5,4.1369,1.2868,785,3.1385,34.3029,-123.6969,95892
2.0042,7,3.2985,1.6083,1664,3.6839,32.0429,-114.4584,100313
12.6051,20,7.4932,1.2938,3925,2.0366,35.8406,-121.3687,635942
6.3626,28,3.9534,2.0086,2802,3.3809,34.13,-116.6419,221716
3.2153,13,2.2244,2.6489,3871,3.386,35.6904,-121.1901,204921
8.5503,2,5.3349,1.6517,2357,4.3801,41.3836,-119.4499,431488
11.8949,32,8.4562,2.6404,1938,3.2082,38.2101,-121.303,599604
4.4136,26,8.6469,2.1396,1423,2.1803,38.4575,-116.7953,267089
9.909,3,8.6441,2.9991,4603,3.0908,40.8359,-115.9651,552172
2.6522,41,4.7883,2.4283,2781,1.4291,33.1356,-116.6851,130529
2.1977,42,8.1184,2.4534,3973,3.431,33.0016,-114.4086,127652
8.6733,13,8.6521,2.7078,119,4.6645,40.553,-122.5678,525594
8.7986,21,5.1358,4.9454,4428,3.1192,33.5919,-118.2201,416371
10.1053,45,3.8687,3.0045,892,2.1687,39.3403,-114.5429,521848
11.3022,37,7.3177,3.755,4436,2.6221,34.089,-119.3628,552983
14.674,23,9.1402,2.3754,3389,4.6074,36.7499,-115.1168,744966
8.4701,7,9.7494,1.9663,2574,4.2523,35.8539,-123.8945,480726
5.8599,17,3.612,4.6246,2072,4.2127,33.0355,-114.5485,298417
12.235,28,9.6055,3.8406,4920,3.2563,38.7137,-123.494,669126
5.1562,47,5.4935,3.1209,1813,2.5857,40.5473,-123.4118,257251
7.4261,30,3.7543,2.0139,4250,1.5297,32.9939,-120.3917,325617
2.5592,5,9.8956,1.6604,1008,4.9025,35.5758,-115.6316,183182
1.8422,24,8.9003,1.6343,1300,1.7164,32.2835,-123.1353,117891
14.4958,7,7.2317,2.7668,3652,2.0085,34.3592,-114.7119,764330
12.7857,34,9.0545,4.4367,3007,4.057,34.6037,-121.7708,682869
10.8957,50,7.1334,4.4647,2414,2.403,40.171,-123.506,531308
7.0209,42,4.9636,3.8524,3549,3.3355,39.5214,-118.3633,287747
3.8395,33,9.5324,2.9412,2778,4.0466,40.315,-115.7072,258069
3.6119,27,9.6692,1.5571,4401,3.2245,32.8048,-114.2766,206694
4.8783,14,3.8276,2.6548,2743,2.9629,33.3313,-121.6301,279745
8.9146,19,4.1896,3.6263,4215,1.2028,35.0405,-115.5138,425319
11.147,48,4.4445,3.1776,2219,2.9506,39.4436,-122.582,525220
10.4127,51,8.3993,2.8132,3247,2.8201,32.2503,-116.5122,530653
5.2791,38,8.1203,2.427,3460,4.522,33.4876,-123.6741,305622
14.3907,12,9.848,3.8863,342,2.7896,36.9765,-120.1193,825148
11.4616,3,5.1869,4.2901,529,3.5198,32.24,-115.8856,585301
8.9838,7,7.6309,3.7531,4809,4.0949,33.0357,-122.7128,479215
9.7582,35,8.7105,4.7207,3094,2.8709,35.1873,-117.9906,474322
7.1646,25,2.9911,4.0094,4315,2.0434,34.3923,-115.704,309757
4.8444,49,6.585,2.5277,347,4.5758,35.6092,-121.9283,238775
6.3056,15,5.9294,3.2754,4982,4.5821,39.5575,-115.9751,356873
11.7309,19,7.6854,2.7697,417,4.5993,34.173,-120.9374,611187
1.6943,19,7.2589,2.9585,816,2.0911,38.258,-119.9785,135360
3.067,23,8.3151,4.5306,4516,2.2618,40.8088,-116.4886,157941
2.121,11,3.8003,1.8539,3438,4.6752,35.046,-115.7679,149195
2.0498,21,2.9472,0.5589,382,1.5031,32.4942,-120.9766,43795
13.0487,34,8.2468,3.6304,4680,3.6235,38.3132,-121.7962,648294
10.9994,39,4.2451,1.3146,4765,2.1693,39.1667,-118.4078,559458
7.9013,51,3.5882,1.194,1316,3.8852,36.7653,-118.2396,386142
2.8208,7,4.0314,4.9661,2674,4.3347,36.2804,-123.1176,141009
8.1368,42,1.5972,1.7005,4021,2.6325,39.4632,-118.3257,375033
7.8919,44,7.9583,1.417,3516,1.6046,36.1647,-117.6383,414968
3.8382,27,7.4364,1.3594,3428,3.9289,32.0475,-123.0168,220275
7.357,50,5.9742,2.3556,3875,1.2229,40.8987,-115.8351,339970
6.8798,23,7.4448,2.3424,1925,1.06,34.5321,-118.9892,388881
9.814,38,4.3582,3.3462,3747,4.5088,38.0844,-117.9898,495366
10.0738,20,3.6583,0.9664,4192,4.2672,37.5475,-118.8119,537781
2.1116,27,8.7607,3.3595,1189,3.3278,37.1324,-119.1789,188921
6.5573,8,4.8021,2.5413,387,3.6615,34.4641,-121.0117,361133
9.9491,37,2.7632,1.4344,1174,4.8104,39.4027,-120.3418,539190
8.2923,3,7.7414,4.002,2231,1.2511,34.4608,-116.8833,489122
13.0626,2,4.0228,2.6333,2330,1.8664,41.3898,-117.6847,709760
10.3924,22,2.9067,3.7268,1897,3.9168,37.6023,-117.9339,518731
3.6996,6,1.2449,4.6426,4698,2.0561,39.7002,-115.9672,182907
2.4527,39,9.7354,2.0903,2666,1.8291,39.4455,-118.6261,191776
10.1727,40,5.2056,4.5406,4133,2.7688,41.683,-120.9864,456417
1.8579,36,2.4558,1.4015,2484,3.8948,37.3225,-118.0599,74197
9.408,44,7.8203,1.4996,3325,1.8421,32.5505,-116.214,486025
14.1931,24,8.9889,3.4866,4313,2.7182,32.8806,-115.1787,766528
9.2689,12,5.7517,0.9618,4546,3.0753,35.577,-119.0654,510106
6.7403,17,1.2552,2.5465,4826,1.6889,35.603,-120.4253,333542
10.1844,22,4.2863,1.4622,3525,2.9072,34.1735,-115.5053,527338
7.6864,19,3.1879,3.0689,309,4.4635,41.2576,-119.7775,392323
